1,neighborhood,hot,351,631,667,534,387
1,neighborhood,cold,720,804,227,499,412
1,state,hot,351,355,717,252,435
1,state,cold,416,720
2,neighborhood,hot,104,435,411,640,351
2,neighborhood,cold,414,257,720,357,613
2,state,hot,457,351,640,531,104
2,state,cold,794,728,416,720
3,neighborhood,hot,736,104,188,222,287
3,neighborhood,cold,240,414,357,613,723
3,state,hot,613,222,351,104,259
3,state,cold,686,128,276,441,371
4,neighborhood,hot,104,174,736,188,222
4,neighborhood,cold,499,528,197,575,414
4,state,hot,222,613,351,403,104
4,state,cold,275,575,800,352,728
5,neighborhood,hot,174,188,736,403,351
5,neighborhood,cold,776,499,775,723,220
5,state,hot,174,613,403,351,106
5,state,cold,275,775,794,800,606
6,neighborhood,hot,174,736,489,188,812
6,neighborhood,cold,414,776,481,723,686
6,state,hot,613,174,627,812,600
6,state,cold,275,463,473,438,220
7,neighborhood,hot,198,812,174,736,216
7,neighborhood,cold,414,693,776,499,254
7,state,hot,613,812,174,403,287
7,state,cold,275,463,220,473,352
