1,neighborhood,hot,291,681,313,104,421
1,neighborhood,cold,461
1,state,hot,351,174,184,450,222
1,state,cold,281,724,416
2,neighborhood,hot,351,667,184,313,387
2,neighborhood,cold,720,412,499,752,748
2,state,hot,351,313,355,421,174
2,state,cold,720
3,neighborhood,hot,355,567,538,435,389
3,neighborhood,cold,414,760,176,390,469
3,state,hot,355,717,531,435,104
3,state,cold,728,794,123,468,480
4,neighborhood,hot,104,355,653,351,384
4,neighborhood,cold,613,420,499,495,342
4,state,hot,435,531,359,710,104
4,state,cold,416
5,neighborhood,hot,351,355,104,174,489
5,neighborhood,cold,613,414,499,752,216
5,state,hot,355,351,104,435,531
5,state,cold,416
6,neighborhood,hot,104,351,736,411,222
6,neighborhood,cold,336,414,748,412,613
6,state,hot,222,531,640,104,252
6,state,cold,NA
7,neighborhood,hot,640,104,411,174,736
7,neighborhood,cold,613,414,309,614,752
7,state,hot,351,222,640,531,104
7,state,cold,109,754,414,480
8,neighborhood,hot,736,259,104,356,411
8,neighborhood,cold,613,752,467,128,706
8,state,hot,259,351,104,222,310
8,state,cold,414,438,466,473,711
9,neighborhood,hot,736,356,104,259,351
9,neighborhood,cold,499,467,299,357,613
9,state,hot,351,259,104,222,403
9,state,cold,499,750,314,686,128
10,neighborhood,hot,216,188,736,351,104
10,neighborhood,cold,613,414,723,562,686
10,state,hot,351,222,259,104,403
10,state,cold,414,128,610,302,352
11,neighborhood,hot,188,104,736,174,222
11,neighborhood,cold,693,414,723,240,198
11,state,hot,613,222,104,351,531
11,state,cold,686,475,775,441,371
12,neighborhood,hot,736,104,222,188,783
12,neighborhood,cold,499,528,382,240,116
12,state,hot,222,351,104,106,218
12,state,cold,728,610,352,800,793
13,neighborhood,hot,351,104,736,188,222
13,neighborhood,cold,499,197,614,528,471
13,state,hot,222,351,613,104,702
13,state,cold,575,728,352,371,275
14,neighborhood,hot,104,222,120,188,736
14,neighborhood,cold,414,499,548,353,603
14,state,hot,613,222,351,104,531
14,state,cold,275,352,371,491,800
15,neighborhood,hot,403,174,104,351,188
15,neighborhood,cold,499,663,745,414,575
15,state,hot,222,351,403,613,702
15,state,cold,275,575,728,800,794
16,neighborhood,hot,403,174,351,104,736
16,neighborhood,cold,723,775,220,206,102
16,state,hot,403,351,613,222,289
16,state,cold,275,800,728,794,352
17,neighborhood,hot,403,174,766,188,351
17,neighborhood,cold,775,499,693,684,220
17,state,hot,403,287,174,351,222
17,state,cold,275,794,775,654,800
18,neighborhood,hot,174,188,720,289,736
18,neighborhood,cold,499,723,693,436,220
18,state,hot,613,174,287,289,592
18,state,cold,275,775,723,794,793
19,neighborhood,hot,403,174,287,736,222
19,neighborhood,cold,723,499,775,776,693
19,state,hot,287,592,174,613,351
19,state,cold,275,775,800,610,575
20,neighborhood,hot,174,216,489,736,188
20,neighborhood,cold,775,228,723,499,102
20,state,hot,613,106,174,592,627
20,state,cold,275,775,794,473,463
21,neighborhood,hot,174,489,222,736,188
21,neighborhood,cold,775,467,723,591,117
21,state,hot,174,613,287,600,272
21,state,cold,275,775,473,438,463
22,neighborhood,hot,351,174,736,489,411
22,neighborhood,cold,723,686,776,246,720
22,state,hot,613,174,600,627,351
22,state,cold,275,473,463,438,610
23,neighborhood,hot,803,389,368,812,174
23,neighborhood,cold,414,743,686,776,499
23,state,hot,174,613,627,489,812
23,state,cold,275,463,473,794,220
24,neighborhood,hot,389,174,356,188,403
24,neighborhood,cold,723,414,126,499,392
24,state,hot,613,812,174,627,403
24,state,cold,463,275,220,473,579
25,neighborhood,hot,198,812,174,736,368
25,neighborhood,cold,414,776,499,693,383
25,state,hot,812,613,403,174,287
25,state,cold,275,463,575,220,800
